GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
2537	0.00	0.00	0.0566	-39.49781	-2.2364724	1741.53	IFI6	interferon alpha inducible protein 6
81606	0.00	0.00	0.0459	47.903179	2.1999545	5423.63	LBH	LBH regulator of WNT signaling pathway
151258	0.00	0.00	0.0564	-44.844168	-2.5284449	3904.46	SLC38A11	solute carrier family 38 member 11
1295	0.00	0.00	0.0389	-60.6934	-2.3614798	17247.77	COL8A1	collagen type VIII alpha 1 chain
9076	0.00	0.00	0.1421	-40.034142	-5.6870993	999.34	CLDN1	claudin 1
2069	0.00	0.00	0.0793	-43.040419	-3.414336	1709.01	EREG	epiregulin
10468	0.00	0.00	0.0506	39.032242	1.9748581	5809.14	FST	follistatin
1404	0.00	0.00	0.0888	39.929163	3.5462072	1008.68	HAPLN1	hyaluronan and proteoglycan link protein 1
10085	0.00	0.00	0.0711	37.776762	2.6873124	1149.81	EDIL3	EGF like repeats and discoidin domains 3
2201	0.00	0.00	0.0435	46.672032	2.0323124	21395.76	FBN2	fibrillin 2
7045	0.00	0.00	0.0403	54.048376	2.1755137	24724.04	TGFBI	transforming growth factor beta induced
7148	0.00	0.00	0.0963	40.974183	3.9453302	998.19	TNXB	tenascin XB
3486	0.00	0.00	0.0346	37.659614	1.3043741	93086.21	IGFBP3	insulin like growth factor binding protein 3
4147	0.00	0.00	0.0514	38.539569	1.981196	2381.02	MATN2	matrilin 2
92949	0.00	0.00	0.0656	52.391008	3.4349889	1959.64	ADAMTSL1	ADAMTS like 1
5069	0.00	0.00	0.0456	-46.767336	-2.1310128	4204.61	PAPPA	pappalysin 1
59	0.00	0.00	0.0508	37.700272	1.9135923	7653.49	ACTA2	actin alpha 2, smooth muscle
1012	0.00	0.00	0.06	-41.307499	-2.4776222	3887.88	CDH13	cadherin 13
5452	0.00	0.00	0.0653	-43.37553	-2.8335095	1444.98	POU2F2	POU class 2 homeobox 2
3897	0.00	0.00	0.0351	-57.614027	-2.0209444	18033.95	L1CAM	L1 cell adhesion molecule
231	6.49e-301	7.73e-304	0.059	-37.258472	-2.198273	7953.61	AKR1B1	aldo-keto reductase family 1 member B
3488	1.56e-298	1.94e-301	0.0468	-37.109949	-1.7371807	330674.02	IGFBP5	insulin like growth factor binding protein 5
