"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of chromatin","GO:0030527","true","5.099454802788062e-13","12.292476253078034","51","772","23","16535","H2BC8,H4C8,H2AC19,H4C5,H2BC21,H2AC6,H2BC11,H2AC20,H3C4,H3C10,H2AC15,H2BC12L,H2BC5,H2BC12,H1-2,H4C16,H3C6,H2BC17,H2AC8,H2BC15,H4C15,H4C14,H2BC18"
"GO:MF","signaling receptor regulator activity","GO:0030545","true","1.2841487582227461e-11","10.891384663858165","293","772","51","16535","CCL11,C3,CCL5,IL1B,WNT7B,TNFSF18,IL1A,AREG,DLL4,EBI3,CCL7,EREG,BTC,CSF2,CXCL6,IL34,TGFB2,CSF3,IL32,DPP4,PDGFD,IGF1,CXCL1,F2RL2,TMEM35A,IGFBP2,SEMA6A,CCL2,IGFBP5,IL12A,SEMA6D,JAG2,ICOSLG,TG,CXCL3,WNT9A,GDF15,CXCL2,DKK2,SEMA3D,CXCL8,BMP2,TNFSF9,EGF,CXCL5,STC1,LYPD6B,CLU,OSGIN1,HGF,BMP4"
"GO:MF","receptor ligand activity","GO:0048018","false","5.92705529880835e-11","10.227161020819816","262","772","47","16535","CCL11,C3,CCL5,IL1B,WNT7B,TNFSF18,IL1A,AREG,DLL4,EBI3,CCL7,EREG,BTC,CSF2,CXCL6,IL34,TGFB2,CSF3,IL32,DPP4,PDGFD,IGF1,CXCL1,F2RL2,SEMA6A,CCL2,IGFBP5,IL12A,SEMA6D,JAG2,ICOSLG,TG,CXCL3,WNT9A,GDF15,CXCL2,SEMA3D,CXCL8,BMP2,TNFSF9,EGF,CXCL5,STC1,CLU,OSGIN1,HGF,BMP4"
"GO:MF","signaling receptor activator activity","GO:0030546","false","1.6947518595731923e-10","9.770893880886918","269","772","47","16535","CCL11,C3,CCL5,IL1B,WNT7B,TNFSF18,IL1A,AREG,DLL4,EBI3,CCL7,EREG,BTC,CSF2,CXCL6,IL34,TGFB2,CSF3,IL32,DPP4,PDGFD,IGF1,CXCL1,F2RL2,SEMA6A,CCL2,IGFBP5,IL12A,SEMA6D,JAG2,ICOSLG,TG,CXCL3,WNT9A,GDF15,CXCL2,SEMA3D,CXCL8,BMP2,TNFSF9,EGF,CXCL5,STC1,CLU,OSGIN1,HGF,BMP4"
"GO:MF","cytokine activity","GO:0005125","false","1.3232080335895676e-8","7.878371871052542","106","772","27","16535","CCL11,CCL5,IL1B,WNT7B,TNFSF18,IL1A,AREG,EBI3,CCL7,CSF2,CXCL6,IL34,TGFB2,CSF3,IL32,CXCL1,CCL2,IL12A,CXCL3,WNT9A,GDF15,CXCL2,CXCL8,BMP2,TNFSF9,CXCL5,BMP4"
"GO:MF","signaling receptor binding","GO:0005102","false","2.9275375355267703e-8","7.533497527897736","883","772","91","16535","CCL11,C3,CCL5,PTPRZ1,LCP1,CD36,IL1B,WNT7B,TNFSF18,IL1A,AREG,CX3CR1,DLL4,EBI3,SAA1,CCL7,EREG,BTC,CSF2,SYT1,GNA14,CXCL6,IL34,TGFB2,PCSK1N,COL4A3,CSF3,DPP4,TLR2,GPRC5B,ITGB4,TCIM,PDGFD,RARRES2,IGF1,SOCS1,CXCL1,VAV3,SHC2,PIK3IP1,HAP1,IGFBP2,BEX2,SEMA6A,CCL2,F11R,IL12A,SEMA6D,JAG2,HLA-B,ICOSLG,ADORA1,BANK1,A2M,CXCL3,F2RL1,OPRD1,ARRB1,CADM4,ADAMTS5,CNIH3,DLK2,WNT9A,SRPX2,ICAM1,FBLN1,ABCA1,TRBV12-3,ADAM8,CXCL2,SEMA3D,CXCL8,BMP2,TNFSF9,JAM2,ADORA2A,EGF,DOCK4,CXCL5,HLA-F,EGFL7,ICAM2,ISG15,PRNP,MAP7,CLU,BDKRB2,LAMA3,SHC3,HGF,BMP4"
"GO:MF","chemokine activity","GO:0008009","false","0.000014417418116924082","4.841112506465983","16","772","10","16535","CCL11,CCL5,CCL7,CXCL6,CXCL1,CCL2,CXCL3,CXCL2,CXCL8,CXCL5"
"GO:MF","molecular transducer activity","GO:0060089","false","0.00011534797056332486","3.9379900420696567","566","772","60","16535","VIPR1,PTPRZ1,NPBWR1,CD36,CX3CR1,EBI3,STRA6,LPAR3,NFAM1,ACVR1C,TLR2,GPRC5B,TNFRSF10C,CTSH,L1CAM,F2RL2,ROBO2,LEPR,PDGFRL,CD7,MRGPRE,ADGRB2,CELSR1,ADORA1,GPRC5C,F2RL1,OPRD1,IFIH1,PRLR,ACKR4,RTN4RL1,ICAM1,SCARB1,PRTG,HTR2B,ABCA1,ABCA7,ZNF219,ADORA2A,PTPRO,LTK,GPR37,ADGRA3,PTPRK,PTPRR,FOLR3,GLRB,P2RX5,SLC20A2,PRNP,P2RX6,RIGI,CSF2RB,BDKRB2,SORL1,RARB,THRB,GPRC5A,ABCC9,PLA2R1"
"GO:MF","signaling receptor activity","GO:0038023","true","0.00011534797056332486","3.9379900420696567","566","772","60","16535","VIPR1,PTPRZ1,NPBWR1,CD36,CX3CR1,EBI3,STRA6,LPAR3,NFAM1,ACVR1C,TLR2,GPRC5B,TNFRSF10C,CTSH,L1CAM,F2RL2,ROBO2,LEPR,PDGFRL,CD7,MRGPRE,ADGRB2,CELSR1,ADORA1,GPRC5C,F2RL1,OPRD1,IFIH1,PRLR,ACKR4,RTN4RL1,ICAM1,SCARB1,PRTG,HTR2B,ABCA1,ABCA7,ZNF219,ADORA2A,PTPRO,LTK,GPR37,ADGRA3,PTPRK,PTPRR,FOLR3,GLRB,P2RX5,SLC20A2,PRNP,P2RX6,RIGI,CSF2RB,BDKRB2,SORL1,RARB,THRB,GPRC5A,ABCC9,PLA2R1"
"GO:MF","molecular function activator activity","GO:0140677","false","0.00017438266156482216","3.7584966980792207","837","772","78","16535","CCL11,C3,CCL5,IL1B,WNT7B,TNFSF18,IL1A,AREG,DLL4,EBI3,CCL7,EREG,BTC,CSF2,CXCL6,IL34,TGFB2,ELMOD1,CSF3,IL32,DPP4,GPRC5B,RGCC,CCND2,PDGFD,IGF1,LOC105378858,CXCL1,VAV3,CTSH,F2RL2,MAP3K9,SEMA6A,CCL2,GM2A,IGFBP5,IL12A,SEMA6D,JAG2,LLGL2,ICOSLG,TG,CXCL3,GPRC5C,RAP1GAP,ARRB1,FAM47E,TBC1D10C,ALS2CL,WNT9A,RGS16,PREX2,GDF15,FBLN1,HTR2B,MMP15,CXCL2,SEMA3D,CXCL8,BMP2,TNFSF9,EGF,CASP1,DOCK4,CXCL5,LTK,STC1,PRNP,CLU,MGST2,DNAJB4,RGS17,OSGIN1,ADAP1,HGF,BMP4,GPRC5A,ABCC9"
