GSM	Title	cell_line	Comparison	Status	Count_file
GSM3752521	HAEC IR- 1	HAEC	HAEC_IR	Control	GSM3752521_S01_geneCOUNT.txt.gz
GSM3752522	HAEC IR- 2	HAEC	HAEC_IR	Control	GSM3752522_S02_geneCOUNT.txt.gz
GSM3752523	HAEC IR+ 1	HAEC	HAEC_IR	Senescent	GSM3752523_S03_geneCOUNT.txt.gz
GSM3752524	HAEC IR+ 2	HAEC	HAEC_IR	Senescent	GSM3752524_S04_geneCOUNT.txt.gz
GSM3752525	HAEC IR+ 3	HAEC	HAEC_IR	Senescent	GSM3752525_S05_geneCOUNT.txt.gz
GSM3752526	HUVEC IR- 1	HUVEC	HUVEC_IR	Control	GSM3752526_S06_geneCOUNT.txt.gz
GSM3752527	HUVEC IR- 2	HUVEC	HUVEC_IR	Control	GSM3752527_S07_geneCOUNT.txt.gz
GSM3752528	HUVEC IR- 3	HUVEC	HUVEC_IR	Control	GSM3752528_S08_geneCOUNT.txt.gz
GSM3752529	HUVEC IR+ 1	HUVEC	HUVEC_IR	Senescent	GSM3752529_S09_geneCOUNT.txt.gz
GSM3752530	HUVEC IR+ 2	HUVEC	HUVEC_IR	Senescent	GSM3752530_S10_geneCOUNT.txt.gz
GSM3752531	HUVEC IR+ 3	HUVEC	HUVEC_IR	Senescent	GSM3752531_S11_geneCOUNT.txt.gz
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_IR	Control	GSM3752532_S12_geneCOUNT.txt.gz
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_IR	Control	GSM3752533_S13_geneCOUNT.txt.gz
GSM3752534	IMR-90 IR+ 1	IMR-90	IMR90_IR	Senescent	GSM3752534_S14_geneCOUNT.txt.gz
GSM3752535	IMR-90 IR+ 2	IMR-90	IMR90_IR	Senescent	GSM3752535_S15_geneCOUNT.txt.gz
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_Replicative	Control	GSM3752532_S12_geneCOUNT.txt.gz
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_Replicative	Control	GSM3752533_S13_geneCOUNT.txt.gz
GSM3752536	IMR-90 PDL52 1	IMR-90	IMR90_Replicative	Senescent	GSM3752536_S16_geneCOUNT.txt.gz
GSM3752537	IMR-90 PDL52 2	IMR-90	IMR90_Replicative	Senescent	GSM3752537_S17_geneCOUNT.txt.gz
GSM3752538	WI-38 Dox- 1	WI-38	WI38_Doxorubicin	Control	GSM3752538_S18_geneCOUNT.txt.gz
GSM3752539	WI-38 Dox- 2	WI-38	WI38_Doxorubicin	Control	GSM3752539_S19_geneCOUNT.txt.gz
GSM3752546	WI-38 Dox- 1 Repeat	WI-38	WI38_Doxorubicin	Control	GSM3752546_DMSO_Control_WCL_1_S5_S5_geneCOUNT.txt.gz
GSM3752547	WI-38 Dox- 2 Repeat	WI-38	WI38_Doxorubicin	Control	GSM3752547_DMSO_Control_WCL_2_S6_S6_geneCOUNT.txt.gz
GSM3752540	WI-38 Dox+ 1	WI-38	WI38_Doxorubicin	Senescent	GSM3752540_S20_geneCOUNT.txt.gz
GSM3752541	WI-38 Dox+ 2	WI-38	WI38_Doxorubicin	Senescent	GSM3752541_S21_geneCOUNT.txt.gz
GSM3752548	WI-38 Dox+ 1 Repeat	WI-38	WI38_Doxorubicin	Senescent	GSM3752548_Doxorubicin_Senescence_WCL_1_S7_S7_geneCOUNT.txt.gz
GSM3752549	WI-38 Dox+ 2 Repeat	WI-38	WI38_Doxorubicin	Senescent	GSM3752549_Doxorubicin_Senescence_WCL_2_S8_S8_geneCOUNT.txt.gz
GSM3752542	WI-38 EV 1	WI-38	WI38_HRAS	Control	GSM3752542_S22_geneCOUNT.txt.gz
GSM3752543	WI-38 EV 2	WI-38	WI38_HRAS	Control	GSM3752543_S23_geneCOUNT.txt.gz
GSM3752544	WI-38 HRAS(G12v) 1	WI-38	WI38_HRAS	Senescent	GSM3752544_S24_geneCOUNT.txt.gz
GSM3752545	WI-38 HRAS(G12v) 2	WI-38	WI38_HRAS	Senescent	GSM3752545_S25_geneCOUNT.txt.gz
GSM3752550	WI-38 IR- 1	WI-38	WI38_IR	Control	GSM3752550_IR_Control_WCL_1_S9_S9_geneCOUNT.txt.gz
GSM3752551	WI-38 IR- 2	WI-38	WI38_IR	Control	GSM3752551_IR_Control_WCL_2_S10_S10_geneCOUNT.txt.gz
GSM3752552	WI-38 IR+ 1	WI-38	WI38_IR	Senescent	GSM3752552_IR_Senescence_WCL_1_S11_S11_geneCOUNT.txt.gz
GSM3752553	WI-38 IR+ 2	WI-38	WI38_IR	Senescent	GSM3752553_IR_Senescence_WCL_2_S12_S12_geneCOUNT.txt.gz
GSM3752556	WI-38 Proliferating Control 1	WI-38	WI38_Replicative	Control	GSM3752556_Young_Control_WCL_1_S1_S1_geneCOUNT.txt.gz
GSM3752557	WI-38 Proliferating Control 2	WI-38	WI38_Replicative	Control	GSM3752557_Young_Control_WCL_2_S2_S2_geneCOUNT.txt.gz
GSM3752554	WI-38 Replicative Exhaustion 1	WI-38	WI38_Replicative	Senescent	GSM3752554_Replicative_Senescence_WCL_1_S3_S3_geneCOUNT.txt.gz
GSM3752555	WI-38 Replicative Exhaustion 2	WI-38	WI38_Replicative	Senescent	GSM3752555_Replicative_Senescence_WCL_2_S4_S4_geneCOUNT.txt.gz
