GSM	Count_file	Number_of_genes	Total_counts
GSM3752521	GSM3752521_S01_geneCOUNT.txt.gz	57773	154765749
GSM3752522	GSM3752522_S02_geneCOUNT.txt.gz	57773	102293388
GSM3752523	GSM3752523_S03_geneCOUNT.txt.gz	57773	163513226
GSM3752524	GSM3752524_S04_geneCOUNT.txt.gz	57773	173167061
GSM3752525	GSM3752525_S05_geneCOUNT.txt.gz	57773	195250835
GSM3752526	GSM3752526_S06_geneCOUNT.txt.gz	57773	181954494
GSM3752527	GSM3752527_S07_geneCOUNT.txt.gz	57773	162483370
GSM3752528	GSM3752528_S08_geneCOUNT.txt.gz	57773	175399837
GSM3752529	GSM3752529_S09_geneCOUNT.txt.gz	57773	173510786
GSM3752530	GSM3752530_S10_geneCOUNT.txt.gz	57773	145285986
GSM3752531	GSM3752531_S11_geneCOUNT.txt.gz	57773	140357532
GSM3752532	GSM3752532_S12_geneCOUNT.txt.gz	57773	140808124
GSM3752533	GSM3752533_S13_geneCOUNT.txt.gz	57773	139001848
GSM3752534	GSM3752534_S14_geneCOUNT.txt.gz	57773	202974994
GSM3752535	GSM3752535_S15_geneCOUNT.txt.gz	57773	175077682
GSM3752536	GSM3752536_S16_geneCOUNT.txt.gz	57773	173939343
GSM3752537	GSM3752537_S17_geneCOUNT.txt.gz	57773	153904822
GSM3752538	GSM3752538_S18_geneCOUNT.txt.gz	57773	141476461
GSM3752539	GSM3752539_S19_geneCOUNT.txt.gz	57773	162915801
GSM3752540	GSM3752540_S20_geneCOUNT.txt.gz	57773	142369997
GSM3752541	GSM3752541_S21_geneCOUNT.txt.gz	57773	175530950
GSM3752542	GSM3752542_S22_geneCOUNT.txt.gz	57773	153049881
GSM3752543	GSM3752543_S23_geneCOUNT.txt.gz	57773	139060207
GSM3752544	GSM3752544_S24_geneCOUNT.txt.gz	57773	162605437
GSM3752545	GSM3752545_S25_geneCOUNT.txt.gz	57773	135085231
GSM3752546	GSM3752546_DMSO_Control_WCL_1_S5_S5_geneCOUNT.txt.gz	57773	310241652
GSM3752547	GSM3752547_DMSO_Control_WCL_2_S6_S6_geneCOUNT.txt.gz	57773	339671357
GSM3752548	GSM3752548_Doxorubicin_Senescence_WCL_1_S7_S7_geneCOUNT.txt.gz	57773	321984151
GSM3752549	GSM3752549_Doxorubicin_Senescence_WCL_2_S8_S8_geneCOUNT.txt.gz	57773	346257781
GSM3752550	GSM3752550_IR_Control_WCL_1_S9_S9_geneCOUNT.txt.gz	57773	331185826
GSM3752551	GSM3752551_IR_Control_WCL_2_S10_S10_geneCOUNT.txt.gz	57773	278729999
GSM3752552	GSM3752552_IR_Senescence_WCL_1_S11_S11_geneCOUNT.txt.gz	57773	278881928
GSM3752553	GSM3752553_IR_Senescence_WCL_2_S12_S12_geneCOUNT.txt.gz	57773	370996204
GSM3752554	GSM3752554_Replicative_Senescence_WCL_1_S3_S3_geneCOUNT.txt.gz	57773	286955697
GSM3752555	GSM3752555_Replicative_Senescence_WCL_2_S4_S4_geneCOUNT.txt.gz	57773	322483830
GSM3752556	GSM3752556_Young_Control_WCL_1_S1_S1_geneCOUNT.txt.gz	57773	305742930
GSM3752557	GSM3752557_Young_Control_WCL_2_S2_S2_geneCOUNT.txt.gz	57773	205854972
