GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7433	3.44e-09	5.96e-10	1.2362	-6.191389	-7.653836	17.69	VIPR1	vasoactive intestinal peptide receptor 1
64084	3.39e-113	2.85e-115	0.3176	-22.820834	-7.2474854	4750.04	CLSTN2	calsyntenin 2
6356	7.35e-08	1.44e-08	1.2271	-5.668526	-6.9557666	21.35	CCL11	C-C motif chemokine ligand 11
5266	1.2e-06	2.68e-07	1.2804	-5.14459	-6.5869577	8.4	PI3	peptidase inhibitor 3
3	3e-06	7.01e-07	1.2918	-4.961103	-6.4089669	7.4	A2MP1	alpha-2-macroglobulin pseudogene 1
26298	1.79e-19	1.57e-20	0.6792	-9.288009	-6.3088701	62.62	EHF	ETS homologous factor
10840	4.11e-08	7.86e-09	1.072	-5.771407	-6.1868763	22.99	ALDH1L1	aldehyde dehydrogenase 1 family member L1
718	4.3e-146	2.07e-148	0.236	-25.944934	-6.1219456	9231.77	C3	complement C3
6352	8.2e-06	2.02e-06	1.2575	-4.751681	-5.9750298	10.83	CCL5	C-C motif chemokine ligand 5
102724068	1.74e-07	3.55e-08	1.0765	-5.511739	-5.9331143	19.24	LOC102724068	uncharacterized LOC102724068
9076	0.0	0.0	0.1421	-40.034142	-5.6870993	999.34	CLDN1	claudin 1
107986170	1.42e-08	2.6e-09	0.9014	-5.955001	-5.367734	19.74	LOC107986170	replaced by ID 10686
5803	2.22e-08	4.14e-09	0.8998	-5.878497	-5.2895779	18.48	PTPRZ1	protein tyrosine phosphatase receptor type Z1
6289	3.87e-13	4.98e-14	0.6967	-7.532361	-5.2476559	30.29	SAA2	serum amyloid A2
112267916	4.49e-15	5.02e-16	0.6011	-8.11094	-4.8758484	33.02	LOC112267916	
4938	1.88e-25	1.27e-26	0.4414	-10.679206	-4.7142147	62.07	OAS1	2'-5'-oligoadenylate synthetase 1
1999	3.52e-11	5.15e-12	0.6754	-6.901301	-4.6608613	25.15	ELF3	E74 like ETS transcription factor 3
3936	3.59e-31	1.95e-32	0.3924	-11.858414	-4.6529792	69.55	LCP1	lymphocyte cytosolic protein 1
6424	6.419999999999999e-176	2.22e-178	0.1603	-28.477605	-4.565922	1265.51	SFRP4	secreted frizzled related protein 4
100528017	1.48e-07	3e-08	0.812	-5.541175	-4.4993	14.89	SAA2-SAA4	SAA2-SAA4 readthrough
2831	7.93e-06	1.95e-06	0.9399	-4.758684	-4.4728286	10.75	NPBWR1	neuropeptides B and W receptor 1
