GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
176	5.4700000000000005e-80	8.53e-82	0.5474	19.156551	10.4856433	1741.52	ACAN	aggrecan
728577	6.67e-10	1.07e-10	1.2153	6.456297	7.8466553	22.51	CNTNAP3B	contactin associated protein family member 3B
643827	1.06e-08	1.91e-09	1.2301	6.00491	7.3865743	16.26	CNTNAP3P2	CNTNAP3 pseudogene 2
79937	5.34e-08	1.03e-08	1.24	5.724919	7.0987485	13.36	CNTNAP3	contactin associated protein family member 3
57216	1.54e-07	3.12e-08	1.2493	5.534336	6.9140794	11.86	VANGL2	VANGL planar cell polarity protein 2
79698	3.98e-07	8.43e-08	1.2243	5.357756	6.5596844	18.02	ZMAT4	zinc finger matrin-type 4
105370960	8.92e-07	1.96e-07	1.2311	5.203483	6.4060553	16.36	LOC105370960	uncharacterized LOC105370960
64399	1.34e-30	7.480000000000001e-32	0.5372	11.745101	6.3092681	109.66	HHIP	hedgehog interacting protein
100289279	1.48e-05	3.77e-06	1.3048	4.623807	6.0331153	6.42	CNTNAP3C	contactin associated protein family member 3C
163782	2.17e-05	5.64e-06	1.2644	4.539296	5.7396988	27.98	KANK4	KN motif and ankyrin repeat domains 4
105375734	0.00011	3.13e-05	1.2843	4.164148	5.3481115	8.05	SMILR	smooth muscle induced lncRNA, enhancer of proliferation
105376922	0.000313	9.61e-05	1.3041	3.900239	5.0861542	6.74	LOC105376922	uncharacterized LOC105376922
3891	0.000319	9.8e-05	1.3002	3.895533	5.0650493	6.56	KRT85	keratin 85
63976	1.43e-11	2.03e-12	0.7045	7.032293	4.9540912	27.39	PRDM16	PR/SET domain 16
70	8.29e-09	1.48e-09	0.7918	6.046015	4.7872604	184.78	ACTC1	actin alpha cardiac muscle 1
26577	1.6199999999999998e-54	4.38e-56	0.2989	15.778492	4.7154238	136.8	PCOLCE2	procollagen C-endopeptidase enhancer 2
9244	5.98e-78	9.7e-80	0.2348	18.908532	4.4401591	190.07	CRLF1	cytokine receptor like factor 1
8549	6.74e-35	3.2e-36	0.3471	12.567128	4.3615366	82.54	LGR5	leucine rich repeat containing G protein-coupled receptor 5
646576	4.54e-16	4.79e-17	0.5181	8.391801	4.347682	36.5	HHIP-AS1	HHIP antisense RNA 1
100132987	1.4e-29	8.13e-31	0.3718	11.541734	4.2907965	70.52	LINC00856	long intergenic non-protein coding RNA 856
284600	2.05e-08	3.81e-09	0.6981	5.892278	4.1133519	39.65	LOC284600	uncharacterized LOC284600
7146	6.030000000000001e-47	2.0299999999999998e-48	0.2775	14.62196	4.0574352	110.83	TNXA	tenascin XA (pseudogene)
5732	3.88e-26	2.57e-27	0.3725	10.826697	4.0332641	60.34	PTGER2	prostaglandin E receptor 2
112840934	0.000147	4.26e-05	0.9748	4.092835	3.9898175	8.77	NGF-AS1	NGF antisense RNA 1
7148	0.0	0.0	0.0963	40.974183	3.9453302	998.19	TNXB	tenascin XB
131873	9.37e-14	1.15e-14	0.5091	7.721447	3.9308711	30.77	COL6A6	collagen type VI alpha 6 chain
23414	9.94e-43	3.76e-44	0.2807	13.937186	3.9116432	103.03	ZFPM2	zinc finger protein, FOG family member 2
4781	1.24e-73	2.21e-75	0.2123	18.371904	3.8998728	176.79	NFIB	nuclear factor I B
102724852	1.43e-05	3.63e-06	0.8365	4.631324	3.8741041	10.98	LOC102724852	replaced by ID 100033819
4857	1.58e-14	1.84e-15	0.4853	7.951927	3.8593068	32.83	NOVA1	NOVA alternative splicing regulator 1
121256	1.85e-21	1.49e-22	0.3922	9.771451	3.8324933	49.6	TMEM132D	transmembrane protein 132D
2263	1.89e-06	4.33e-07	0.7562	5.053787	3.8215307	13.07	FGFR2	fibroblast growth factor receptor 2
3889	1.49e-08	2.73e-09	0.6401	5.947077	3.8064742	18.73	KRT83	keratin 83
55816	9.74e-106	9.44e-108	0.1666	22.050529	3.672517	270.11	DOK5	docking protein 5
283120	6.26e-05	1.72e-05	0.8522	4.298269	3.6631934	9.6	H19	H19 imprinted maternally expressed transcript
3887	7.54e-29	4.5e-30	0.3189	11.393614	3.6332592	318.17	KRT81	keratin 81
5308	3.17e-12	4.33e-13	0.4998	7.244693	3.6211785	27.31	PITX2	paired like homeodomain 2
1396	2.02e-51	5.9999999999999995e-53	0.2359	15.315768	3.612276	131.46	CRIP1	cysteine rich protein 1
4741	3.87e-96	4.41e-98	0.1717	21.018846	3.608203	243.9	NEFM	neurofilament medium chain
339855	2.23e-08	4.16e-09	0.612	5.877835	3.5972379	17.99	KY	kyphoscoliosis peptidase
342035	2.8e-07	5.85e-08	0.6596	5.423223	3.5768935	15.41	GLDN	gliomedin
1404	0.0	0.0	0.0888	39.929163	3.5462072	1008.68	HAPLN1	hyaluronan and proteoglycan link protein 1
6442	0.000415	0.00013	0.916	3.826988	3.5054762	8.2	SGCA	sarcoglycan alpha
6387	1.62e-142	8.01e-145	0.136	25.625111	3.4860623	7607.54	CXCL12	C-X-C motif chemokine ligand 12
55107	1.14e-07	2.29e-08	0.6157	5.588459	3.4410528	17.04	ANO1	anoctamin 1
3037	1.1600000000000001e-79	1.8199999999999998e-81	0.1798	19.116988	3.4378482	3138.47	HAS2	hyaluronan synthase 2
92949	0.0	0.0	0.0656	52.391008	3.4349889	1959.64	ADAMTSL1	ADAMTS like 1
5443	0.000376	0.000117	0.8814	3.852759	3.3956447	7.96	POMC	proopiomelanocortin
7472	4.82e-50	1.5e-51	0.2247	15.105241	3.3946602	398.4	WNT2	Wnt family member 2
90293	2.82e-43	1.05e-44	0.2384	14.027937	3.344584	109.56	KLHL13	kelch like family member 13
401562	0.00283	0.00103	1.0119	3.283555	3.3225658	6.09	LCNL1	lipocalin like 1
9182	1.43e-10	2.17e-11	0.4957	6.693845	3.317891	24.67	RASSF9	Ras association domain family member 9
2139	1.33e-38	5.71e-40	0.249	13.232282	3.2943999	98.67	EYA2	EYA transcriptional coactivator and phosphatase 2
83992	0.000144	4.17e-05	0.8029	4.097728	3.2899031	9.33	CTTNBP2	cortactin binding protein 2
9745	1.69e-32	8.689999999999999e-34	0.2694	12.115953	3.2640073	84.0	ZNF536	zinc finger protein 536
100507114	4.33e-05	1.17e-05	0.7322	4.383313	3.2095369	11.34	LINC00445	long intergenic non-protein coding RNA 445
149773	1.63e-15	1.77e-16	0.3869	8.236851	3.1867862	39.03	APCDD1L-DT	APCDD1L divergent transcript
100130417	8.64e-08	1.71e-08	0.5646	5.639236	3.1839979	69.19	LINC02593	long intergenic non-protein coding RNA 2593
1462	1.75e-91	2.18e-93	0.155	20.499447	3.1774827	4188.07	VCAN	versican
27063	4.4600000000000003e-88	5.8599999999999995e-90	0.157	20.111407	3.1578834	333.82	ANKRD1	ankyrin repeat domain 1
92745	6.49e-71	1.21e-72	0.1747	18.026153	3.1494007	190.31	SLC38A5	solute carrier family 38 member 5
85349	6.14e-12	8.56e-13	0.4392	7.151828	3.1413039	30.13	KRT87P	keratin 87, pseudogene
6943	4.42e-14	5.33e-15	0.4014	7.818964	3.1386041	35.7	TCF21	transcription factor 21
8862	2.63e-11	3.81e-12	0.4508	6.943918	3.1300263	31.0	APLN	apelin
102724102	2.87e-10	4.47e-11	0.4717	6.587504	3.1072001	24.78	LOC102724102	uncharacterized LOC102724102
105378558	3.36e-08	6.38e-09	0.5303	5.806581	3.0790283	19.5	EBF3-AS1	EBF3 antisense RNA 1
5420	1.07e-18	9.81e-20	0.3352	9.091069	3.0471327	578.42	PODXL	podocalyxin like
101928711	1.34e-07	2.7e-08	0.5476	5.559532	3.0442493	19.5	LOC101928711	
105378992	0.000866	0.000285	0.8285	3.628832	3.0063965	7.84	LINC02057	long intergenic non-protein coding RNA 2057
25975	3.19e-09	5.51e-10	0.4841	6.203839	3.0033377	23.75	EGFL6	EGF like domain multiple 6
105378969	0.00358	0.00133	0.9255	3.210311	2.9712693	6.17	LOC105378969	uncharacterized LOC105378969
107985728	1.01e-09	1.64e-10	0.4611	6.391374	2.9468406	123.45	LOC107985728	collagen alpha-1(III) chain-like
64388	7.31e-32	3.87e-33	0.2454	11.992851	2.943454	492.92	GREM2	gremlin 2, DAN family BMP antagonist
101929705	0.000593	0.00019	0.7766	3.731598	2.8981378	8.53	SCIRT	stem cell inhibitory RNA transcript
4883	6.91e-131	4.23e-133	0.1179	24.550863	2.8950453	414.2	NPR3	natriuretic peptide receptor 3
2045	0.00458	0.00173	0.9225	3.132852	2.8901145	6.19	EPHA7	EPH receptor A7
387914	0.000162	4.75e-05	0.7062	4.067796	2.8728754	10.67	SHISA2	shisa family member 2
107985872	3.5e-10	5.49e-11	0.4381	6.557088	2.8725306	27.21	LOC107985872	
