Gene	Pathway_count	Pathways	log2FoldChange	padj	baseMean	Description	abs_log2FoldChange
H2BC8	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-2.6433204	1.15e-09	25.64	H2B clustered histone 8	2.6433204
H4C8	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-2.4744182	4e-16	49.49	H4 clustered histone 8	2.4744182
H2AC19	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-2.324769	8.06e-55	203.46	H2A clustered histone 19	2.324769
H4C5	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-2.0546892	0.00413	8.98	H4 clustered histone 5	2.0546892
H2BC21	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-2.0470283	6.739999999999999e-95	547.29	H2B clustered histone 21	2.0470283
H2AC6	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-2.0431376	3.42e-85	453.88	H2A clustered histone 6	2.0431376
H2BC11	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-1.8598769	1.53e-08	38.32	H2B clustered histone 11	1.8598769
H2AC20	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-1.808133	7.79e-09	41.08	H2A clustered histone 20	1.808133
H3C4	4	Cellular Senescence | Cytokine Signaling in Immune system | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-1.8063203	3.31e-05	21.66	H3 clustered histone 4	1.8063203
H3C10	4	Cellular Senescence | Cytokine Signaling in Immune system | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-1.7848891	0.000454	16.35	H3 clustered histone 10	1.7848891
H2BC12L	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-1.5895971	6.670000000000001e-21	136.49	H2B clustered histone 12 like	1.5895971
H2BC5	4	Cellular Senescence | DNA Damage/Telomere Stress Induced Senescence | Oxidative Stress Induced Senescence | Senescence-Associated Secretory Phenotype (SASP)	-1.5892267	9.49e-31	226.71	H2B clustered histone 5	1.5892267
