Pathway	Gene
Senescence-Associated Secretory Phenotype (SASP)	IL1A
Senescence-Associated Secretory Phenotype (SASP)	H2BC8
Senescence-Associated Secretory Phenotype (SASP)	H4C8
Senescence-Associated Secretory Phenotype (SASP)	H2AC19
Senescence-Associated Secretory Phenotype (SASP)	H4C5
Senescence-Associated Secretory Phenotype (SASP)	H2BC21
Senescence-Associated Secretory Phenotype (SASP)	H2AC6
Senescence-Associated Secretory Phenotype (SASP)	H2BC11
Senescence-Associated Secretory Phenotype (SASP)	H2AC20
Senescence-Associated Secretory Phenotype (SASP)	H3C4
Senescence-Associated Secretory Phenotype (SASP)	H3C10
Senescence-Associated Secretory Phenotype (SASP)	H2BC12L
Senescence-Associated Secretory Phenotype (SASP)	H2BC5
Senescence-Associated Secretory Phenotype (SASP)	H2BC12
Senescence-Associated Secretory Phenotype (SASP)	H4C16
Senescence-Associated Secretory Phenotype (SASP)	FOS
Senescence-Associated Secretory Phenotype (SASP)	H3C6
Senescence-Associated Secretory Phenotype (SASP)	H2BC17
Senescence-Associated Secretory Phenotype (SASP)	H2AC8
Senescence-Associated Secretory Phenotype (SASP)	CXCL8
Senescence-Associated Secretory Phenotype (SASP)	H2BC15
Senescence-Associated Secretory Phenotype (SASP)	H4C15
Senescence-Associated Secretory Phenotype (SASP)	H4C14
Senescence-Associated Secretory Phenotype (SASP)	CDKN2B
Cellular Senescence	IL1A
Cellular Senescence	H2BC8
Cellular Senescence	H4C8
Cellular Senescence	H2AC19
Cellular Senescence	H4C5
Cellular Senescence	H2BC21
Cellular Senescence	H2AC6
Cellular Senescence	H2BC11
Cellular Senescence	H2AC20
Cellular Senescence	H3C4
Cellular Senescence	H3C10
Cellular Senescence	H2BC12L
Cellular Senescence	H2BC5
Cellular Senescence	H2BC12
Cellular Senescence	H1-2
Cellular Senescence	H4C16
Cellular Senescence	FOS
Cellular Senescence	H3C6
Cellular Senescence	H2BC17
Cellular Senescence	H2AC8
Cellular Senescence	CXCL8
Cellular Senescence	H2BC15
Cellular Senescence	H4C15
Cellular Senescence	H4C14
Cellular Senescence	CDKN2B
DNA Damage/Telomere Stress Induced Senescence	H2BC8
DNA Damage/Telomere Stress Induced Senescence	H4C8
DNA Damage/Telomere Stress Induced Senescence	H2AC19
DNA Damage/Telomere Stress Induced Senescence	H4C5
DNA Damage/Telomere Stress Induced Senescence	H2BC21
DNA Damage/Telomere Stress Induced Senescence	H2AC6
DNA Damage/Telomere Stress Induced Senescence	H2BC11
DNA Damage/Telomere Stress Induced Senescence	H2AC20
DNA Damage/Telomere Stress Induced Senescence	H2BC12L
DNA Damage/Telomere Stress Induced Senescence	H2BC5
DNA Damage/Telomere Stress Induced Senescence	H2BC12
DNA Damage/Telomere Stress Induced Senescence	H1-2
DNA Damage/Telomere Stress Induced Senescence	H4C16
DNA Damage/Telomere Stress Induced Senescence	H2BC17
DNA Damage/Telomere Stress Induced Senescence	H2AC8
DNA Damage/Telomere Stress Induced Senescence	H2BC15
DNA Damage/Telomere Stress Induced Senescence	H4C15
DNA Damage/Telomere Stress Induced Senescence	H4C14
Oxidative Stress Induced Senescence	H2BC8
Oxidative Stress Induced Senescence	H4C8
Oxidative Stress Induced Senescence	H2AC19
Oxidative Stress Induced Senescence	H4C5
Oxidative Stress Induced Senescence	H2BC21
Oxidative Stress Induced Senescence	H2AC6
Oxidative Stress Induced Senescence	H2BC11
Oxidative Stress Induced Senescence	H2AC20
Oxidative Stress Induced Senescence	H3C4
Oxidative Stress Induced Senescence	H3C10
Oxidative Stress Induced Senescence	H2BC12L
Oxidative Stress Induced Senescence	H2BC5
Oxidative Stress Induced Senescence	H2BC12
Oxidative Stress Induced Senescence	H4C16
Oxidative Stress Induced Senescence	FOS
Oxidative Stress Induced Senescence	H3C6
Oxidative Stress Induced Senescence	H2BC17
Oxidative Stress Induced Senescence	H2AC8
Oxidative Stress Induced Senescence	H2BC15
Oxidative Stress Induced Senescence	H4C15
Oxidative Stress Induced Senescence	H4C14
Oxidative Stress Induced Senescence	CDKN2B
Cytokine Signaling in Immune system	CCL11
Cytokine Signaling in Immune system	CCL5
Cytokine Signaling in Immune system	PTPRZ1
Cytokine Signaling in Immune system	OAS1
Cytokine Signaling in Immune system	LCP1
Cytokine Signaling in Immune system	CD36
Cytokine Signaling in Immune system	IL1B
Cytokine Signaling in Immune system	TNFSF18
Cytokine Signaling in Immune system	IL1A
Cytokine Signaling in Immune system	INPP5D
Cytokine Signaling in Immune system	SNCA
Cytokine Signaling in Immune system	EBI3
Cytokine Signaling in Immune system	SAA1
Cytokine Signaling in Immune system	CSF2
Cytokine Signaling in Immune system	OAS2
Cytokine Signaling in Immune system	IL34
Cytokine Signaling in Immune system	SOD2
Cytokine Signaling in Immune system	MX1
Cytokine Signaling in Immune system	CSF3
Cytokine Signaling in Immune system	HERC5
Cytokine Signaling in Immune system	IL32
Cytokine Signaling in Immune system	BST2
Cytokine Signaling in Immune system	RSAD2
Cytokine Signaling in Immune system	IFI6
Cytokine Signaling in Immune system	PIK3R3
Cytokine Signaling in Immune system	SOCS1
Cytokine Signaling in Immune system	CXCL1
Cytokine Signaling in Immune system	NUP210
Cytokine Signaling in Immune system	IFI27
Cytokine Signaling in Immune system	SNAP25
Cytokine Signaling in Immune system	DUSP4
Cytokine Signaling in Immune system	CCL2
Cytokine Signaling in Immune system	H3C4
Cytokine Signaling in Immune system	H3C10
Cytokine Signaling in Immune system	IL12A
Cytokine Signaling in Immune system	HLA-B
Cytokine Signaling in Immune system	DUSP6
Cytokine Signaling in Immune system	TRIM29
Cytokine Signaling in Immune system	OPRD1
Cytokine Signaling in Immune system	PRLR
Cytokine Signaling in Immune system	FOS
Cytokine Signaling in Immune system	OASL
Cytokine Signaling in Immune system	RELB
Cytokine Signaling in Immune system	PLCG2
Cytokine Signaling in Immune system	H3C6
Cytokine Signaling in Immune system	ICAM1
Cytokine Signaling in Immune system	TEC
Cytokine Signaling in Immune system	CXCL2
Cytokine Signaling in Immune system	CXCL8
Cytokine Signaling in Immune system	TNFSF9
Cytokine Signaling in Immune system	CASP1
Cytokine Signaling in Immune system	HLA-F
Cytokine Signaling in Immune system	IRF5
Cytokine Signaling in Immune system	MX2
Cytokine Signaling in Immune system	ISG15
Cytokine Signaling in Immune system	RIGI
Cytokine Signaling in Immune system	CSF2RB
Cytokine Signaling in Immune system	PIK3CD
Cytokine Signaling in Immune system	HGF
Extracellular matrix organization	TGFB2
Extracellular matrix organization	ASPN
Extracellular matrix organization	COL4A3
Extracellular matrix organization	CTSS
Extracellular matrix organization	COL8A1
Extracellular matrix organization	ITGB4
Extracellular matrix organization	COL4A4
Extracellular matrix organization	MMP12
Extracellular matrix organization	LOXL4
Extracellular matrix organization	FMOD
Extracellular matrix organization	F11R
Extracellular matrix organization	A2M
Extracellular matrix organization	ADAMTS5
Extracellular matrix organization	CTSK
Extracellular matrix organization	ICAM1
Extracellular matrix organization	FBLN1
Extracellular matrix organization	MMP15
Extracellular matrix organization	ADAM8
Extracellular matrix organization	BMP2
Extracellular matrix organization	AGRN
Extracellular matrix organization	JAM2
Extracellular matrix organization	NTN4
Extracellular matrix organization	ICAM2
Extracellular matrix organization	LOXL2
Extracellular matrix organization	LAMA3
Extracellular matrix organization	BMP4
