Symbol	log2FoldChange	padj	baseMean	Description
VIPR1	-7.653836	3.44e-09	17.69	vasoactive intestinal peptide receptor 1
CLSTN2	-7.2474854	3.39e-113	4750.04	calsyntenin 2
CCL11	-6.9557666	7.35e-08	21.35	C-C motif chemokine ligand 11
EHF	-6.3088701	1.79e-19	62.62	ETS homologous factor
ALDH1L1	-6.1868763	4.11e-08	22.99	aldehyde dehydrogenase 1 family member L1
C3	-6.1219456	4.3e-146	9231.77	complement C3
CCL5	-5.9750298	8.2e-06	10.83	C-C motif chemokine ligand 5
LOC102724068	-5.9331143	1.74e-07	19.24	uncharacterized LOC102724068
CLDN1	-5.6870993	0.0	999.34	claudin 1
LOC107986170	-5.367734	1.42e-08	19.74	replaced by ID 10686
PTPRZ1	-5.2895779	2.22e-08	18.48	protein tyrosine phosphatase receptor type Z1
SAA2	-5.2476559	3.87e-13	30.29	serum amyloid A2
LOC112267916	-4.8758484	4.49e-15	33.02	
OAS1	-4.7142147	1.88e-25	62.07	2'-5'-oligoadenylate synthetase 1
ELF3	-4.6608613	3.52e-11	25.15	E74 like ETS transcription factor 3
LCP1	-4.6529792	3.59e-31	69.55	lymphocyte cytosolic protein 1
SFRP4	-4.565922	6.419999999999999e-176	1265.51	secreted frizzled related protein 4
SAA2-SAA4	-4.4993	1.48e-07	14.89	SAA2-SAA4 readthrough
NPBWR1	-4.4728286	7.93e-06	10.75	neuropeptides B and W receptor 1
CD36	-4.3939188	2.13e-280	776.93	CD36 molecule
