GSM	Title	cell_line	Comparison	Status	Ensembl_ID	Gene	Raw_count	Total_counts	CPM
GSM3752521	HAEC IR- 1	HAEC	HAEC_IR	Control	ENSG00000090339	ICAM1	974	154765749	6.293382135862632
GSM3752521	HAEC IR- 1	HAEC	HAEC_IR	Control	ENSG00000115008	IL1A	62	154765749	0.4006054336996747
GSM3752521	HAEC IR- 1	HAEC	HAEC_IR	Control	ENSG00000147883	CDKN2B	1035	154765749	6.687526191599408
GSM3752521	HAEC IR- 1	HAEC	HAEC_IR	Control	ENSG00000169429	CXCL8	14288	154765749	92.32016833388633
GSM3752521	HAEC IR- 1	HAEC	HAEC_IR	Control	ENSG00000170345	FOS	106	154765749	0.6849060640671858
GSM3752522	HAEC IR- 2	HAEC	HAEC_IR	Control	ENSG00000090339	ICAM1	512	102293388	5.005211089498766
GSM3752522	HAEC IR- 2	HAEC	HAEC_IR	Control	ENSG00000115008	IL1A	41	102293388	0.4008079192762684
GSM3752522	HAEC IR- 2	HAEC	HAEC_IR	Control	ENSG00000147883	CDKN2B	653	102293388	6.383599299692762
GSM3752522	HAEC IR- 2	HAEC	HAEC_IR	Control	ENSG00000169429	CXCL8	9048	102293388	88.45146472223601
GSM3752522	HAEC IR- 2	HAEC	HAEC_IR	Control	ENSG00000170345	FOS	58	102293388	0.5669965687322821
GSM3752523	HAEC IR+ 1	HAEC	HAEC_IR	Senescent	ENSG00000090339	ICAM1	3259	163513226	19.931109425973897
GSM3752523	HAEC IR+ 1	HAEC	HAEC_IR	Senescent	ENSG00000115008	IL1A	24	163513226	0.14677711758925238
GSM3752523	HAEC IR+ 1	HAEC	HAEC_IR	Senescent	ENSG00000147883	CDKN2B	1422	163513226	8.696544217163204
GSM3752523	HAEC IR+ 1	HAEC	HAEC_IR	Senescent	ENSG00000169429	CXCL8	18705	163513226	114.39441602112358
GSM3752523	HAEC IR+ 1	HAEC	HAEC_IR	Senescent	ENSG00000170345	FOS	108	163513226	0.6604970291516358
GSM3752524	HAEC IR+ 2	HAEC	HAEC_IR	Senescent	ENSG00000090339	ICAM1	3389	173167061	19.570696531022143
GSM3752524	HAEC IR+ 2	HAEC	HAEC_IR	Senescent	ENSG00000115008	IL1A	15	173167061	0.08662155443060848
GSM3752524	HAEC IR+ 2	HAEC	HAEC_IR	Senescent	ENSG00000147883	CDKN2B	1346	173167061	7.772840817573267
GSM3752524	HAEC IR+ 2	HAEC	HAEC_IR	Senescent	ENSG00000169429	CXCL8	20398	173167061	117.79376448503679
GSM3752524	HAEC IR+ 2	HAEC	HAEC_IR	Senescent	ENSG00000170345	FOS	76	173167061	0.4388825424484163
GSM3752525	HAEC IR+ 3	HAEC	HAEC_IR	Senescent	ENSG00000090339	ICAM1	4076	195250835	20.875710979673915
GSM3752525	HAEC IR+ 3	HAEC	HAEC_IR	Senescent	ENSG00000115008	IL1A	16	195250835	0.08194587234415668
