Ensembl_ID	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Comparison	Control_n	Senescent_n	Tested_by_DESeq2	Direction	Formal_result
ENSG00000170345	FOS	92.01798724803801	-0.16862483299982384	0.3151026966203921	-0.535142462468254	0.5925513493973134	0.7461432496694739	HAEC_IR	2	3	True	Higher in Control	Not significant
ENSG00000115008	IL1A	34.71191919393471	-1.995163707767906	0.5055620428631502	-3.946427023019158	7.932608475852402e-05	0.00033481469180134555	HAEC_IR	2	3	True	Higher in Control	Significant decrease
ENSG00000169429	CXCL8	16155.779579276485	0.2967670243100669	0.0383559325369698	7.737187044638394	1.016404756009392e-14	9.919614255525976e-14	HAEC_IR	2	3	True	Higher in Senescent	Significant increase
ENSG00000147883	CDKN2B	1155.5866666669983	0.27150578427642985	0.09003545999196755	3.0155428128056667	0.002565197218220453	0.008354019926148534	HAEC_IR	2	3	True	Higher in Senescent	Significant increase
ENSG00000090339	ICAM1	2181.8745646144775	1.7684304917342357	0.08441969644172857	20.948079254879936	1.9535290075614536e-97	1.1089030003255934e-95	HAEC_IR	2	3	True	Higher in Senescent	Significant increase
ENSG00000170345	FOS	87.15841664108439	-0.3066672672387131	0.28430474832702946	-1.0786568604403348	0.2807407234578918	0.4368926668036337	HUVEC_IR	3	3	True	Higher in Control	Not significant
ENSG00000115008	IL1A	61.98338845908115	-0.09465546739749821	0.3555588189504799	-0.26621605864508524	0.7900728161358475	0.873271554398514	HUVEC_IR	3	3	True	Higher in Control	Not significant
ENSG00000169429	CXCL8	5629.963180165221	-0.4759932282123457	0.06008424300647775	-7.922097448428007	2.3353716388389904e-15	2.6790814541756204e-14	HUVEC_IR	3	3	True	Higher in Control	Significant decrease
ENSG00000147883	CDKN2B	906.7980187745055	0.44118476859760847	0.09113121630255398	4.841203557877281	1.2905508858599976e-06	6.803461828823897e-06	HUVEC_IR	3	3	True	Higher in Senescent	Significant increase
ENSG00000090339	ICAM1	763.5878735881239	1.8421488294533037	0.10899131451014137	16.90179476899415	4.3641836955564296e-64	3.6129603556047576e-62	HUVEC_IR	3	3	True	Higher in Senescent	Significant increase
ENSG00000170345	FOS	1952.9834449822588	-4.224401466295372	0.4348683791088456	-9.714207031912117	2.622825396319132e-22	2.546368193674197e-21	IMR90_IR	2	2	True	Higher in Control	Significant decrease
ENSG00000115008	IL1A	196.22420152687175	-4.008288690374047	0.3235978789132909	-12.38663462144658	3.0872955857896246e-35	4.457521219235761e-34	IMR90_IR	2	2	True	Higher in Control	Significant decrease
ENSG00000169429	CXCL8	11283.967947733092	-5.104183387683436	0.08163632681657762	-62.52343272562512	0.0	0.0	IMR90_IR	2	2	True	Higher in Control	Significant decrease
ENSG00000147883	CDKN2B	1437.5258380855907	0.27789836638212834	0.1063655154199654	2.61267352755163	0.008983707326568306	0.022277572066462446	IMR90_IR	2	2	True	Higher in Senescent	Significant increase
ENSG00000090339	ICAM1	1234.159380157672	-1.0066039667016977	0.11129080845135236	-9.044807749255467	1.4992876137629128e-19	1.3029105021917373e-18	IMR90_IR	2	2	True	Higher in Control	Significant decrease
ENSG00000170345	FOS	1824.213574655015	-4.542823151669503	0.43652585269770705	-10.406767717410302	2.309296565150565e-25	3.410985585946312e-24	IMR90_Replicative	2	2	True	Higher in Control	Significant decrease
