Gene	Scenario	Excluded_models	Models_included	Degrees_of_freedom	Pooled_log2FoldChange	HKSJ_SE	HKSJ_t_statistic	HKSJ_pvalue	HKSJ_CI95_lower	HKSJ_CI95_upper	Normal_CI95_lower	Normal_CI95_upper	Tau_squared	HKSJ_scale	I2_percent	Heterogeneity	HKSJ_overall_direction
CDKN2B	All_8_models	None	8	7	0.5851811471900102	0.4675184232847758	1.2516750528856988	0.2508923578044188	-0.5203242545755912	1.6906865489556115	-0.33113812453615443	1.501500418916175	1.6746544664782166	1.0000000000457225	97.45665042750436	Considerable	No clear overall direction
CDKN2B	Exclude_IMR90_IR	IMR90_IR	7	6	0.6267916557303291	0.5388457643815315	1.1632116222528701	0.28890823892292866	-0.6917164310741158	1.945299742534774	-0.42932663516055103	1.6829099466212094	1.9478383275358817	1.0000000009826129	97.75379730849193	Considerable	No clear overall direction
CDKN2B	Exclude_IMR90_Replicative	IMR90_Replicative	7	6	0.539556593653183	0.5391177519998407	1.0008139996349859	0.35555455610444997	-0.7796170228778674	1.8587302101842333	-0.5170947835430466	1.5962079708494126	1.9500668023415004	1.0000000002832634	97.74150335646466	Considerable	No clear overall direction
CDKN2B	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	5	0.5800822318102776	0.6373926532406174	0.9100861593886226	0.40451348788296027	-1.0583877447780903	2.2185522083986458	-0.6691844060330225	1.8293488696535778	2.3387509080839344	1.0000000104361035	98.08195801750729	Considerable	No clear overall direction
IL1A	All_8_models	None	8	7	0.44125984977247334	1.470660520879526	0.30004194952386337	0.772859359316371	-3.0362996837593306	3.9188193833042773	-2.4411818046333145	3.323701504178261	17.07469657167701	1.0000000000020817	99.32881491305915	Considerable	No clear overall direction
IL1A	Exclude_IMR90_IR	IMR90_IR	7	6	1.0826068953069115	1.5309402460450965	0.707151633189883	0.5059954791409738	-2.6634689361356467	4.82868272674947	-1.9179806226215366	4.0831944132353595	16.160761290920536	1.0000001511722874	99.21482467437754	Considerable	No clear overall direction
IL1A	Exclude_IMR90_Replicative	IMR90_Replicative	7	6	1.1493387712583238	1.490783100588372	0.7709631071110953	0.469989852219629	-2.498476065058022	4.79715360757467	-1.7725415502018345	4.071219092718482	15.319513436838374	1.0000005917108419	99.28513256580719	Considerable	No clear overall direction
IL1A	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	5	2.0218752045961508	1.4395229635655058	1.4045452943579562	0.21912797904105663	-1.678536377526696	5.722286786718998	-0.7995379583053377	4.843288367497639	12.174180817218039	1.000000000429053	98.9041065102774	Considerable	No clear overall direction
CXCL8	All_8_models	None	8	7	0.9669494528122298	1.926962263161043	0.5017998905832327	0.6312033436684473	-3.589592246562489	5.523491152186949	-2.809827182539565	4.743726088164025	29.390788781270288	1.000000000006166	99.87354944471544	Considerable	No clear overall direction
CXCL8	Exclude_IMR90_IR	IMR90_IR	7	6	1.843306301454285	1.9856101774108752	0.9283324201419301	0.3890548225800943	-3.015306773406472	6.7019193763150415	-2.04841811522111	5.73503071812968	27.240055575218804	1.0000000094488237	99.67264200054564	Considerable	No clear overall direction
CXCL8	Exclude_IMR90_Replicative	IMR90_Replicative	7	6	1.99180565713286	1.8828591236469705	1.057862286199547	0.3308372388561936	-2.615384646555363	6.5989959608210835	-1.6985304131384513	5.682141727404171	24.493159166351997	1.0000000000213534	99.88888212011486	Considerable	No clear overall direction
CXCL8	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	5	3.1857692482332207	1.7290165606961454	1.8425325243562445	0.12474068860148518	-1.258809316206666	7.630347812673108	-0.20304093053543726	6.574579427001879	17.565440196603248	1.0000000052343445	99.69901803034334	Considerable	No clear overall direction
ICAM1	All_8_models	None	8	7	0.7779540762727813	0.5681193066664627	1.3693498304740954	0.21320262980550295	-0.5654346140688146	2.121342766614377	-0.33553882890028597	1.8914469814458488	2.5103709306490036	1.000000852839143	99.24686354775332	Considerable	No clear overall direction
ICAM1	Exclude_IMR90_IR	IMR90_IR	7	6	1.0395469534206556	0.5856274464403027	1.775099442041988	0.12622998021570714	-0.393431785629893	2.472525692471204	-0.10826174373054309	2.1873556505718543	2.320805167969862	1.0000000108553881	99.03158920987816	Considerable	No clear overall direction
ICAM1	Exclude_IMR90_Replicative	IMR90_Replicative	7	6	1.1045306600683265	0.5415210434502005	2.0396818801925316	0.08748292836829487	-0.22052359879436456	2.4295849189310177	0.043168925046341844	2.165892395090311	1.9747037880910654	1.000000013211251	99.01273307198325	Considerable	No clear overall direction
ICAM1	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	5	1.47441296684344	0.4830218547371965	3.052476720014339	0.0283441066658506	0.2327657608406397	2.71606017284624	0.5277075481136264	2.4211183855732537	1.3143123168163842	1.000000042887321	96.68389117204865	Considerable	Overall increase
FOS	All_8_models	None	8	7	-0.1944583448147167	1.07070645466451	-0.18161686050136622	0.8610305523572599	-2.7262767938513472	2.3373601042219136	-2.2930044339695264	1.9040877443400928	8.89387268189516	1.0000000000020957	98.6292559500742	Considerable	No clear overall direction
FOS	Exclude_IMR90_IR	IMR90_IR	7	6	0.38831834233442203	1.0422636378598376	0.37257209042789485	0.7222731100596254	-2.162008905162294	2.9386455898311383	-1.6544806461649846	2.4311173308338287	7.318533819584516	1.0000001998254202	98.42424992953721	Considerable	No clear overall direction
FOS	Exclude_IMR90_Replicative	IMR90_Replicative	7	6	0.4345689494178516	1.0069482567906558	0.43157028823199833	0.681130034884453	-2.0293446736129828	2.898482572448686	-1.5390132748487395	2.408151173684443	6.813984899845518	1.000000094587887	98.3518266126998	Considerable	No clear overall direction
