Gene	Scenario	Excluded_models	Models_included	Pooled_log2FoldChange	Pooled_SE	CI95_lower	CI95_upper	Pooled_pvalue	Q	Q_df	Q_pvalue	Tau_squared	I2_percent	CI_excludes_zero	Overall_direction
CDKN2B	All_8_models	None	8	0.5851811471900102	0.4675184232740877	-0.33115496242720166	1.5015172568072221	0.2106882940035072	275.2276004722105	7	1.1696835215923664e-55	1.6746544664782166	97.45665042750436	False	No clear overall direction
CDKN2B	Exclude_IMR90_IR	IMR90_IR	7	0.6267916557303291	0.5388457641167931	-0.4293460419385854	1.6829293533992438	0.24474365198833914	267.11747887594515	6	8.974169372463496e-55	1.9478383275358817	97.75379730849193	False	No clear overall direction
CDKN2B	Exclude_IMR90_Replicative	IMR90_Replicative	7	0.539556593653183	0.5391177519234847	-0.517114200116847	1.596227387423213	0.3169167399601738	265.6634455124943	6	1.8366574861827687e-54	1.9500668023415004	97.74150335646466	False	No clear overall direction
CDKN2B	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	0.5800822318102776	0.6373926499146697	-0.669207362022475	1.8293718256430302	0.36277707065966525	260.68251089592616	5	2.8021214645888813e-54	2.3387509080839344	98.08195801750729	False	No clear overall direction
IL1A	All_8_models	None	8	0.44125984977247334	1.4706605208779955	-2.4412347711483977	3.3237544706933444	0.764145157748679	1042.9313964505372	7	6.366430351847248e-221	17.07469657167701	99.32881491305915	False	No clear overall direction
IL1A	Exclude_IMR90_IR	IMR90_IR	7	1.0826068953069115	1.5309401303272403	-1.9180357601344795	4.083249550748302	0.4794722186896512	764.1605389526684	6	8.515298068450329e-162	16.160761290920536	99.21482467437754	False	No clear overall direction
IL1A	Exclude_IMR90_Replicative	IMR90_Replicative	7	1.1493387712583238	1.4907826595323062	-1.7725952414249961	4.071272783941644	0.4407286643213344	839.316454074435	6	4.9156272736334434e-178	15.319513436838374	99.28513256580719	False	No clear overall direction
IL1A	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	2.0218752045961508	1.43952296325669	-0.7995898033869615	4.843340212579263	0.1601565337158607	456.2487182276857	5	2.2045677093211213e-96	12.174180817218039	98.9041065102774	False	No clear overall direction
CXCL8	All_8_models	None	8	0.9669494528122298	1.9269622631551022	-2.8098965829717706	4.74379548859623	0.6158082901075201	5535.760585825209	7	0.0	29.390788781270288	99.87354944471544	False	No clear overall direction
CXCL8	Exclude_IMR90_IR	IMR90_IR	7	1.843306301454285	1.9856101680300353	-2.0484896278845843	5.735102230793154	0.35323515964035135	1832.8557756342532	6	0.0	27.240055575218804	99.67264200054564	False	No clear overall direction
CXCL8	Exclude_IMR90_Replicative	IMR90_Replicative	7	1.99180565713286	1.882859123626868	-1.6985982251758012	5.682209539441521	0.2901182312234729	5399.671057620898	6	0.0	24.493159166351997	99.88888212011486	False	No clear overall direction
CXCL8	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	3.1857692482332207	1.7290165561710111	-0.20310320186196096	6.574641698328403	0.0653972928704456	1661.2290781748893	5	0.0	17.565440196603248	99.69901803034334	False	No clear overall direction
ICAM1	All_8_models	None	8	0.7779540762727813	0.5681190644094264	-0.3355592899696943	1.891467442515257	0.17088976613212847	929.4464474688846	7	2.0990153079195866e-196	2.5103709306490036	99.24686354775332	False	No clear overall direction
ICAM1	Exclude_IMR90_IR	IMR90_IR	7	1.0395469534206556	0.5856274432616961	-0.10828283537226868	2.18737674221358	0.07588146752161455	619.571783090642	6	1.3982789563351878e-130	2.320805167969862	99.03158920987816	False	No clear overall direction
ICAM1	Exclude_IMR90_Replicative	IMR90_Replicative	7	1.1045306600683265	0.5415210398731152	0.04314942191702076	2.1659118982196324	0.04138201946080265	607.7383764948949	6	4.994477596914127e-128	1.9747037880910654	99.01273307198325	True	Overall increase
ICAM1	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	1.47441296684344	0.4830218443794401	0.5276901518597374	2.4211357818271426	0.0022696128563705806	150.77912877452025	5	9.113198565438223e-31	1.3143123168163842	96.68389117204865	True	Overall increase
FOS	All_8_models	None	8	-0.1944583448147167	1.0707064546633882	-2.293042995954958	1.9041263063255243	0.8558834161425897	510.6715582955726	7	4.0694841013881803e-106	8.89387268189516	98.6292559500742	False	No clear overall direction
FOS	Exclude_IMR90_IR	IMR90_IR	7	0.38831834233442203	1.0422635337244686	-1.654518183765536	2.4311548684343802	0.7094669204996453	380.77104437240166	6	3.796805098718922e-79	7.318533819584516	98.42424992953721	False	No clear overall direction
FOS	Exclude_IMR90_Replicative	IMR90_Replicative	7	0.4345689494178516	1.006948209168105	-1.539049540551634	2.4081874393873375	0.6660537420072816	364.0393690513539	6	1.4922238850686736e-75	6.813984899845518	98.3518266126998	False	No clear overall direction
FOS	Exclude_both_IMR90_models	IMR90_IR, IMR90_Replicative	6	1.2369708281416727	0.7593823099648549	-0.25141849938944283	2.725360155672788	0.10333057015267665	209.52353204591108	5	2.602642142480981e-43	3.1895270265028706	97.61363320330797	False	No clear overall direction
