Gene	Result_type	Comparison	log2FoldChange	CI95_lower	CI95_upper	lfcSE	padj
CDKN2B	Individual_model	HAEC_IR	0.2715057842764298	0.09503628269217348	0.44797528586068613	0.0900354599919675	0.0083540199261485
CDKN2B	Individual_model	HUVEC_IR	0.4411847685976084	0.2625675846446028	0.619801952550614	0.0911312163025539	6.803461828823897e-06
CDKN2B	Individual_model	IMR90_IR	0.2778983663821283	0.0694219561589961	0.48637477660526046	0.1063655154199654	0.0222775720664624
CDKN2B	Individual_model	IMR90_Replicative	0.8665328648170068	0.6471800443754308	1.0858856852585828	0.1119147043069265	8.805289127688824e-14
CDKN2B	Individual_model	WI38_Doxorubicin	-0.5226666329295877	-1.875350359244876	0.8300170933857005	0.6901447583241267	0.934734010677804
CDKN2B	Individual_model	WI38_HRAS	3.579776817481476	3.181529287184441	3.9780243477785113	0.203187515457671	5.5301399180098244e-67
CDKN2B	Individual_model	WI38_IR	0.2392405301893486	-0.20225015663718793	0.6807312170158851	0.2252503504217023	0.5184389338334272
CDKN2B	Individual_model	WI38_Replicative	-0.7087239204250403	-1.222849018854599	-0.1945988219954815	0.2623087236885504	0.0311196397562799
CDKN2B	Pooled_HKSJ	All_8_models	0.5851811471900102	-0.5203242545755912	1.6906865489556115		0.2508923578044188
IL1A	Individual_model	HAEC_IR	-1.995163707767906	-2.9860653117796803	-1.0042621037561317	0.5055620428631502	0.0003348146918013
IL1A	Individual_model	HUVEC_IR	-0.0946554673974982	-0.7915507525404388	0.6022398177454424	0.3555588189504799	0.873271554398514
IL1A	Individual_model	IMR90_IR	-4.008288690374047	-4.642540533044097	-3.374036847703997	0.3235978789132909	4.457521219235761e-34
IL1A	Individual_model	IMR90_Replicative	-4.488007923846887	-5.272519810546228	-3.7034960371475454	0.4002611666833374	6.05170992724056e-28
IL1A	Individual_model	WI38_Doxorubicin	2.2364443222809443	1.4750024401750483	2.99788620438684	0.3884907561764775	2.0339946768739907e-06
IL1A	Individual_model	WI38_HRAS	7.892819102896871	7.304475123270375	8.481163082523366	0.3001754998094367	3.585039892960259e-149
IL1A	Individual_model	WI38_IR	3.8012094745831817	2.8512254556794994	4.7511934934868645	0.4846857239304502	2.38163042588033e-13
IL1A	Individual_model	WI38_Replicative	0.1620837510808413	-1.498956590540453	1.8231240927021355	0.8474695620516808	0.9279170838734702
IL1A	Pooled_HKSJ	All_8_models	0.4412598497724733	-3.0362996837593306	3.9188193833042777		0.772859359316371
CXCL8	Individual_model	HAEC_IR	0.2967670243100669	0.22158939653760612	0.3719446520825277	0.0383559325369698	9.919614255525976e-14
CXCL8	Individual_model	HUVEC_IR	-0.4759932282123457	-0.593758344505042	-0.3582281119196494	0.0600842430064777	2.6790814541756204e-14
CXCL8	Individual_model	IMR90_IR	-5.104183387683436	-5.264190588243928	-4.944176187122944	0.0816363268165776	0.0
CXCL8	Individual_model	IMR90_Replicative	-6.221715133842774	-7.188747983755567	-5.254682283929981	0.4933841070983636	4.1079105622193424e-35
CXCL8	Individual_model	WI38_Doxorubicin	5.336906101881336	2.805398984359284	7.868413219403388	1.2915852640418632	0.0022960835243939
CXCL8	Individual_model	WI38_HRAS	9.295229211307468	8.812510583187748	9.777947839427188	0.2462850143467959	0.0
CXCL8	Individual_model	WI38_IR	5.862177351845513	4.948812627540056	6.77554207615097	0.4660024103599271	5.247078587135963e-34
CXCL8	Individual_model	WI38_Replicative	-1.052774746881098	-2.2735923607321817	0.16804286696998583	0.6228661295158591	0.225562343070638
CXCL8	Pooled_HKSJ	All_8_models	0.9669494528122298	-3.589592246562489	5.523491152186949		0.6312033436684473
ICAM1	Individual_model	HAEC_IR	1.7684304917342355	1.6029678867084476	1.9338930967600234	0.0844196964417285	1.1089030003255934e-95
ICAM1	Individual_model	HUVEC_IR	1.8421488294533035	1.6285258530134266	2.0557718058931806	0.1089913145101413	3.6129603556047576e-62
ICAM1	Individual_model	IMR90_IR	-1.0066039667016975	-1.224733951266348	-0.788473982137047	0.1112908084513523	1.3029105021917373e-18
ICAM1	Individual_model	IMR90_Replicative	-1.4568132599222183	-1.7167236129851706	-1.196902906859266	0.1326073229913022	7.354023344698648e-27
ICAM1	Individual_model	WI38_Doxorubicin	1.1317540290603851	-0.15794493130614962	2.42145298942692	0.6580096736563953	0.4965592058852205
ICAM1	Individual_model	WI38_HRAS	2.3187873652988022	1.8884406379165044	2.7491340926811	0.219564656827703	2.322999107940913e-24
ICAM1	Individual_model	WI38_IR	2.4260265895650375	1.9954575048725816	2.8565956742574934	0.2196781044349265	3.048966652876199e-26
ICAM1	Individual_model	WI38_Replicative	-0.7315125142752844	-1.151290611641551	-0.3117344169090176	0.2141724986562586	0.004394393896879
ICAM1	Pooled_HKSJ	All_8_models	0.7779540762727813	-0.5654346140688146	2.121342766614377		0.2132026298055029
FOS	Individual_model	HAEC_IR	-0.1686248329998238	-0.7862261183757923	0.4489764523761447	0.3151026966203921	0.7461432496694739
FOS	Individual_model	HUVEC_IR	-0.3066672672387131	-0.8639045739596907	0.2505700394822645	0.2843047483270294	0.4368926668036337
FOS	Individual_model	IMR90_IR	-4.224401466295372	-5.07674348934871	-3.372059443242035	0.4348683791088456	2.5463681936741967e-21
FOS	Individual_model	IMR90_Replicative	-4.542823151669503	-5.398413822957009	-3.687232480381997	0.436525852697707	3.410985585946312e-24
FOS	Individual_model	WI38_Doxorubicin	0.6950636410000894	-1.7404481824820286	3.1305754644822077	1.2426080732051623	0.9697057529989188
FOS	Individual_model	WI38_HRAS	1.34586608195314	0.5766848990914372	2.115047264814843	0.3924393790110729	0.0027774864687113
FOS	Individual_model	WI38_IR	4.659242256363248	4.130684696918211	5.187799815808285	0.2696722242066514	4.139612398600624e-64
FOS	Individual_model	WI38_Replicative	1.0165942819126104	0.5226364713546321	1.5105520924705886	0.2520192911010093	0.0005279614983083
FOS	Pooled_HKSJ	All_8_models	-0.1944583448147167	-2.7262767938513472	2.3373601042219136		0.8610305523572599
